#{"t_start": 1674305454.5797377, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,9.433311
-39600.849198,200,14.599398
-36786.791723,200,21.26638
-39499.971757,200,28.551025
-38290.849332,200,37.734718
-36601.702866,200,48.301121
-40000.0,200,64.85229
-40000.0,200,76.30139
-40000.0,200,84.784425
-40000.0,200,95.851158
-40000.0,200,107.934863
-40000.0,200,118.169189
-40000.0,200,129.334607
7506.78469,26,131.918495
-39899.999826,200,145.168164
-38191.030947,200,154.051075
-38987.109566,200,165.101899
-39700.90941,200,175.41841
-40000.0,200,189.986417
-40000.0,200,199.836869
-33801.105742,200,213.703619
-40000.0,200,223.61849
-29810.0045,200,236.402961
-40000.0,200,247.801706
-26789.315847,200,261.502364
-40000.0,200,272.58477
-40000.0,200,284.134725
-38699.748072,200,293.867864
-40000.0,200,310.634547
-15771.430183,137,319.13445
-2291.870373,87,324.901782
-11681.873848,138,332.284146
-40000.0,200,347.134082
2417.22335,52,350.450421
-25478.545654,200,366.35216
-5786.993722,130,374.650638
-40000.0,200,387.250483
-33109.01458,200,400.667025
-36199.61894,200,410.433201
-30490.523134,200,422.883953
-1188.243286,94,429.550607
-27399.431961,200,443.167645
-40000.0,200,453.266835
-37900.2715,200,466.351276
-4088.443529,120,474.717052
-40000.0,200,485.050036
-35599.205896,200,496.399506
-40000.0,200,507.282795
-28186.90136,200,519.866899
-40000.0,200,532.750009
-20094.126497,200,546.58421
-40000.0,200,560.03325
-28399.828176,200,572.882855
-40000.0,200,582.782745
-19999.151232,200,595.016892
-40000.0,200,604.699671
-40000.0,200,615.433013
-40000.0,200,626.68353
-27999.580529,200,638.266554
-40000.0,200,649.149862
-40000.0,200,661.18374
-33996.127683,200,672.583749
-40000.0,200,683.600679
-19999.190176,200,706.002389
-40000.0,200,715.566348
-40000.0,200,726.833127
-40000.0,200,736.516138
-40000.0,200,746.64955
-40000.0,200,762.28405
-40000.0,200,771.499548
-40000.0,200,785.233398
-32095.938435,200,799.884546
-22022.025786,200,812.400815
-40000.0,200,831.083343
-40000.0,200,841.399509
-40000.0,200,850.949626
-40000.0,200,861.933228
-20099.525524,200,877.917488
-40000.0,200,888.632889
-40000.0,200,900.950237
-40000.0,200,912.000422
-40000.0,200,924.13482
-20000.428123,200,937.33356
-40000.0,200,949.366415
-40000.0,200,961.116906
-40000.0,200,971.549559
-40000.0,200,983.249728
-40000.0,200,996.149698
-40000.0,200,1009.766333
-40000.0,200,1018.299354
-40000.0,200,1033.850847
-37698.256797,200,1044.316314
-25390.885624,200,1054.833006
-40000.0,200,1062.649302
-40000.0,200,1074.969671
-39199.589824,200,1087.132807
-21494.246298,200,1102.000384
-40000.0,200,1113.383049
-23499.57251,200,1124.817
-40000.0,200,1140.317667
-40000.0,200,1152.133008
9808.997685,3,1153.432929
-40000.0,200,1163.949419
-38899.966636,200,1179.66614
-40000.0,200,1192.199839
-39199.426604,200,1203.884404
-40000.0,200,1215.832768
4108.986496,32,1218.116328
-40000.0,200,1229.465774
-40000.0,200,1241.783362
-20191.417821,200,1255.550321
-40000.0,200,1265.816229
-40000.0,200,1278.451107
-35700.036524,200,1287.216869
-28595.905652,200,1306.433307
9809.008294,3,1307.782733
9809.008229,3,1309.03248
