#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
7012.440494,17,5.14932
7900.894391,12,6.44812
9492.898305,5,7.715099
-40000.0,200,17.231085
-40000.0,200,28.549575
-39904.333538,200,43.683964
-40000.0,200,56.232084
1803.819886,44,61.183293
6690.31331,23,63.782275
10000.0,1,64.965415
-39900.528279,200,80.799196
-39488.322984,200,93.114894
-40000.0,200,108.49893
-40000.0,200,121.032177
-39402.380053,200,132.715163
-40000.0,200,143.965138
2913.713176,41,147.6818
-39813.537749,200,160.581712
-38387.185752,200,176.265478
-40000.0,200,187.398281
-40000.0,200,198.881825
-40000.0,200,211.381651
-39203.185402,200,225.532
-16868.361764,151,235.498347
-39216.761245,200,247.598384
-39292.375592,200,259.465014
-39899.537844,200,271.615129
-40000.0,200,283.164851
-40000.0,200,295.464826
-40000.0,200,307.631672
-40000.0,200,319.781863
-311.875133,62,326.482952
-39201.02937,200,338.448445
-38392.936922,200,350.76493
-40000.0,200,363.465143
-40000.0,200,376.849289
-7496.633517,92,382.848138
-40000.0,200,394.598129
-39895.646512,200,406.531238
-39511.339114,200,418.281366
-40000.0,200,429.531563
-40000.0,200,443.098607
-40000.0,200,454.498261
-39600.181695,200,467.281422
-39601.1774,200,478.964728
-39899.43407,200,490.347947
-39899.99847,200,504.314698
-40000.0,200,515.764391
-40000.0,200,527.747928
-39900.036373,200,542.832218
-39498.461173,200,556.831735
-39801.62814,200,570.698255
-40000.0,200,584.081703
-40000.0,200,596.697698
-40000.0,200,609.481465
-40000.0,200,624.131614
-40000.0,200,639.698189
-39087.559766,200,653.031487
-39900.870487,200,664.414453
-40000.0,200,680.148635
-39604.801478,200,692.481151
-40000.0,200,704.181163
-40000.0,200,717.697831
-3699.999437,70,722.54758
-39298.728099,200,736.097447
-40000.0,200,754.898153
-39798.064335,200,768.147424
-39600.632574,200,781.231236
-39599.811807,200,793.247566
-39517.284106,200,807.215487
-39200.019072,200,820.531651
-39597.733793,200,835.181271
-40000.0,200,847.730783
-39800.277471,200,862.947979
-39801.136234,200,874.59743
-39094.216584,200,889.765011
-39016.798838,200,903.447706
-38600.175914,200,918.11428
-38631.65597,200,932.697651
-39402.06239,200,946.914715
-39799.99903,200,960.431288
-39405.177123,200,977.680373
-39300.19383,200,991.380258
-39799.999534,200,1003.447266
-39800.169688,200,1021.098426
-39303.171994,200,1034.48141
-38687.814888,200,1051.047796
-39099.685844,200,1064.797339
-40000.0,200,1077.346866
-39799.765592,200,1090.130325
-39298.588086,200,1105.464206
-39500.324346,200,1117.963559
-40000.0,200,1130.63084
-40000.0,200,1143.246929
-39600.11509,200,1156.996723
-39482.960646,200,1168.979959
-40000.0,200,1180.479939
-39497.084531,200,1194.730156
-40000.0,200,1206.513632
-37317.679584,200,1220.947644
-36626.302151,200,1235.763934
-39699.729528,200,1248.629385
-40000.0,200,1260.413852
-40000.0,200,1271.813324
-40000.0,200,1283.946668
-32695.008506,200,1303.163581
-39899.20924,200,1316.380034
-40000.0,200,1331.264763
-35899.619459,200,1346.697914
10000.0,1,1347.862749
-40000.0,200,1361.096388
-39401.993133,200,1374.429698
-40000.0,200,1391.030608
-40000.0,200,1403.280034
-40000.0,200,1415.780035
-38208.852993,200,1428.713006
-40000.0,200,1441.896216
-39897.418838,200,1453.146027
-39225.463284,200,1466.079681
-40000.0,200,1478.796154
-40000.0,200,1490.328901
-40000.0,200,1502.162542
-40000.0,200,1517.79662
-40000.0,200,1531.029515
-40000.0,200,1546.547042
-40000.0,200,1559.462923
-40000.0,200,1571.379436
-40000.0,200,1584.146339
-40000.0,200,1598.16268
-40000.0,200,1609.295947
-40000.0,200,1620.462584
-40000.0,200,1631.512452
-40000.0,200,1643.379366
-40000.0,200,1657.39581
-40000.0,200,1670.396139
-40000.0,200,1687.331089
-40000.0,200,1702.646654
-40000.0,200,1714.446048
-40000.0,200,1725.579293
-40000.0,200,1740.44628
-40000.0,200,1757.546357
-40000.0,200,1771.979829
-40000.0,200,1788.814368
-40000.0,200,1803.762333
-40000.0,200,1820.046251
-40000.0,200,1831.861905
-40000.0,200,1845.579425
-40000.0,200,1857.828677
-39800.000971,200,1871.646637
-40000.0,200,1887.946389
-40000.0,200,1899.645413
-40000.0,200,1915.179639
-40000.0,200,1927.011888
-40000.0,200,1938.64523
-40000.0,200,1950.545422
-40000.0,200,1961.61186
-40000.0,200,1972.628321
-40000.0,200,1983.845282
-40000.0,200,1999.762703
-40000.0,200,2015.479486
-40000.0,200,2027.228195
-40000.0,200,2040.761915
-40000.0,200,2053.644829
-40000.0,200,2066.561625
-40000.0,200,2079.945256
-40000.0,200,2093.644463
-40000.0,200,2110.01217
-40000.0,200,2123.19502
-40000.0,200,2134.627888
-40000.0,200,2152.811724
-40000.0,200,2166.628216
-40000.0,200,2179.928155
-40000.0,200,2193.978282
-40000.0,200,2212.778613
-40000.0,200,2225.194134
-40000.0,200,2236.610947
-40000.0,200,2250.144593
-40000.0,200,2262.077746
-40000.0,200,2275.994469
-40000.0,200,2287.511114
-40000.0,200,2300.82771
-40000.0,200,2312.444077
-40000.0,200,2325.810549
-40000.0,200,2339.361062
-40000.0,200,2356.561513
-40000.0,200,2369.577253
-40000.0,200,2385.844314
-40000.0,200,2399.994343
-40000.0,200,2413.977406
-40000.0,200,2428.127267
-40000.0,200,2439.827169
-40000.0,200,2453.893894
-40000.0,200,2467.593742
-40000.0,200,2478.776961
-40000.0,200,2492.660123
-40000.0,200,2506.310594
-40000.0,200,2517.560227
-40000.0,200,2531.127176
-40000.0,200,2546.86092
-40000.0,200,2560.493836
-40000.0,200,2573.509952
-40000.0,200,2587.110183
-40000.0,200,2600.760241
-40000.0,200,2614.877006
-40000.0,200,2626.076574
-40000.0,200,2642.793826
-40000.0,200,2654.743177
-40000.0,200,2667.043056
-40000.0,200,2680.393211
-40000.0,200,2695.393151
-40000.0,200,2708.743068
-40000.0,200,2719.8595
-40000.0,200,2730.942766
-40000.0,200,2742.076332
-40000.0,200,2754.643131
-40000.0,200,2767.509794
-39900.001528,200,2782.710108
-40000.0,200,2795.126273
-40000.0,200,2811.04309
-40000.0,200,2822.209321
-40000.0,200,2833.492761
9899.999351,2,2834.793487
-39899.918288,200,2846.109367
-40000.0,200,2857.242462
-40000.0,200,2871.645507
-40000.0,200,2882.609227
-40000.0,200,2893.809256
-40000.0,200,2907.293243
-40000.0,200,2922.510056
9900.00045,2,2923.725621
-40000.0,200,2936.293635
-40000.0,200,2952.79334
-40000.0,200,2970.094447
-40000.0,200,2982.426102
-40000.0,200,2993.825851
-40000.0,200,3008.643195
-40000.0,200,3021.892786
-40000.0,200,3033.825807
-40000.0,200,3046.259094
9900.248541,2,3047.508835
-39899.602256,200,3060.008935
-18703.052539,145,3070.559472
-36857.998369,200,3083.29226
-40000.0,200,3095.225603
-40000.0,200,3106.792184
-31969.976529,200,3118.908967
9733.417737,4,3120.376232
-34097.397218,200,3135.076556
-39801.984664,200,3146.375737
-14003.659242,122,3155.325929
-40000.0,200,3176.709025
9899.999811,2,3177.975167
9900.312908,2,3179.208423
-21203.649302,158,3190.225453
-39901.025921,200,3202.025371
-40000.0,200,3218.159146
-39409.276894,200,3236.642228
-40000.0,200,3250.758729
-39899.925005,200,3264.29188
-40000.0,200,3278.308785
-40000.0,200,3290.875491
9113.925303,7,3292.341684
10000.0,1,3293.524338
-40000.0,200,3312.109297
-40000.0,200,3324.775053
7499.386361,14,3326.809765
-40000.0,200,3342.692023
8400.589564,10,3344.676444
-9502.691666,99,3350.925838
3199.755365,36,3354.326385
8511.526859,10,3356.042587
-40000.0,200,3371.191716
-40000.0,200,3514.491533
9698.410639,3,3515.97571
